title,genres,release_date,rating,popularity,type,release_year
Facing El Chapo,"Crime, Action, Thriller",2026-08-21,8.788,139.2563,Movie,2026
The Whisper Man,"Crime, Drama, Thriller",2026-08-27,6.816,105.9362,Movie,2026
Gandhari,"Action, Drama, Thriller",2026-09-03,5.063,68.047,Movie,2026
Spider-Man: Homecoming,"Action, Adventure, Science Fiction",2017-07-05,7.333,59.2216,Movie,2017
Spider-Man: Across the Spider-Verse,"Animation, Action, Adventure, Science Fiction",2023-05-31,8.347,50.6557,Movie,2023
The Last House,"Horror, Science Fiction, Thriller",2026-08-06,6.883,45.8848,Movie,2026
The Secret Woman,"Drama, Thriller, Mystery",2026-08-28,6.347,44.7024,Movie,2026
Dune: Part Two,"Science Fiction, Adventure",2024-02-27,8.135,44.0641,Movie,2024
Practical Magic,"Romance, Fantasy, Comedy",1998-10-16,6.782,43.7143,Movie,1998
The Lord of the Rings: The Return of the King,"Adventure, Fantasy, Action",2003-12-17,8.505,43.2976,Movie,2003
Elize: Shadows of a Woman,"Thriller, Crime, Drama",2026-07-22,7.512,40.8456,Movie,2026
Swapped,"Adventure, Animation, Family, Fantasy",2026-05-01,8.866,39.3924,Movie,2026
The Lord of the Rings: The Fellowship of the Ring,"Adventure, Fantasy, Action",2001-12-18,8.445,38.6877,Movie,2001
Fight Club,"Drama, Thriller",1999-10-15,8.437,37.7729,Movie,1999
War Machine,"Action, Science Fiction, Thriller",2026-02-12,7.472,37.653,Movie,2026
The Batman,"Crime, Mystery, Thriller",2022-03-01,7.667,37.1617,Movie,2022
Spirited Away,"Animation, Family, Fantasy",2001-07-20,8.534,36.9078,Movie,2001
Dune,"Science Fiction, Adventure",2021-09-15,7.784,34.6856,Movie,2021
The Amazing Spider-Man,"Action, Adventure, Science Fiction",2012-06-23,6.761,34.5988,Movie,2012
GOAT,"Animation, Comedy, Family",2026-02-11,8.063,33.6377,Movie,2026
Desire,"Mystery, Drama",2026-05-07,6.745,31.2349,Movie,2026
KPop Demon Hunters,"Fantasy, Music, Comedy, Animation",2025-06-20,8.0,32.2287,Movie,2025
Howl's Moving Castle,"Fantasy, Animation, Adventure",2004-09-09,8.386,32.748,Movie,2004
Shrek,"Animation, Comedy, Fantasy, Adventure, Family",2001-05-18,7.778,30.1517,Movie,2001
The Lord of the Rings: The Two Towers,"Adventure, Fantasy, Action",2002-12-18,8.428,29.2343,Movie,2002
Spider-Man: Far From Home,"Action, Adventure, Science Fiction",2019-06-28,7.393,31.144,Movie,2019
Dhamaal 4,Comedy,2026-07-10,3.35,30.6687,Movie,2026
The Amazing Spider-Man 2,"Action, Adventure, Science Fiction",2014-04-16,6.56,29.0054,Movie,2014
A Minecraft Movie,"Family, Fantasy, Comedy, Adventure",2025-03-31,6.224,27.5735,Movie,2025
Kill Bill: Vol. 1,"Action, Crime",2003-10-10,7.97,27.4442,Movie,2003
Apex,"Action, Thriller",2026-04-24,6.893,26.8099,Movie,2026
Insidious: The Red Door,"Horror, Thriller",2023-07-05,6.518,25.1976,Movie,2023
The Truman Show,"Comedy, Drama",1998-06-04,8.158,26.5036,Movie,1998
The Debt Collector,"Action, Thriller, Crime",2026-07-20,7.989,25.3807,Movie,2026
Scarface,"Action, Crime, Drama",1983-12-09,8.152,25.4154,Movie,1983
G.D.N,Drama,2026-08-07,0.0,24.7252,Movie,2026
Aquaman and the Lost Kingdom,"Action, Adventure, Fantasy",2023-12-20,6.503,23.7544,Movie,2023
The Prestige,"Drama, Mystery, Science Fiction",2006-10-19,8.211,24.3435,Movie,2006
World War Z,"Action, Horror, Science Fiction",2013-06-19,6.85,21.5992,Movie,2013
The Brutalist,Drama,2024-12-20,6.928,23.525,Movie,2024
Furiosa: A Mad Max Saga,"Action, Science Fiction, Adventure",2024-05-22,7.444,22.0572,Movie,2024
28 Years Later,"Horror, Thriller, Science Fiction",2025-06-18,6.603,21.0857,Movie,2025
Sonic the Hedgehog 3,"Action, Science Fiction, Comedy, Family",2024-12-19,7.601,23.7075,Movie,2024
The Rip,"Action, Thriller, Crime",2026-01-13,7.088,21.2793,Movie,2026
A Chinese Odyssey Part Two: Cinderella,"Action, Adventure, Fantasy, Comedy, Romance, Drama",1995-02-04,7.7,23.29,Movie,1995
Man of Steel,"Action, Adventure, Science Fiction",2013-06-12,6.661,20.5438,Movie,2013
Eyes Wide Shut,"Drama, Thriller, Mystery",1999-07-16,7.484,21.9126,Movie,1999
365 Days: This Day,"Romance, Drama",2022-04-26,5.944,22.9494,Movie,2022
Shrek the Third,"Fantasy, Adventure, Animation, Comedy, Family",2007-05-17,6.314,20.5657,Movie,2007
2012,"Action, Adventure, Science Fiction",2009-10-10,5.896,21.0451,Movie,2009
Gladiator II,"Action, Adventure, Drama",2024-11-13,6.593,20.9998,Movie,2024
The Revenant,"Western, Drama, Adventure",2015-12-25,7.541,19.7851,Movie,2015
Princess Mononoke,"Adventure, Fantasy, Animation",1997-07-12,8.319,20.6137,Movie,1997
Taxi Driver,"Crime, Drama",1976-02-09,8.121,19.8138,Movie,1976
Infernal Affairs,"Drama, Action, Thriller, Crime, Mystery",2002-12-12,7.808,28.181,Movie,2002
Wicked,"Drama, Romance, Fantasy",2024-10-16,6.905,19.5097,Movie,2024
The Croods,"Animation, Adventure, Family, Comedy",2013-03-15,6.945,18.5608,Movie,2013
After We Fell,"Drama, Romance",2021-09-01,6.996,20.6449,Movie,2021
Tenet,"Action, Thriller, Science Fiction",2020-08-22,7.17,18.242,Movie,2020
Frankenstein,"Drama, Fantasy, Horror",2025-10-17,7.616,19.1742,Movie,2025
The Suicide Squad,"Action, Comedy, Adventure",2021-07-28,7.447,20.3485,Movie,2021
Batman v Superman: Dawn of Justice,"Action, Adventure, Fantasy",2016-03-23,6.011,19.2453,Movie,2016
Voicemails for Isabelle,"Romance, Comedy, Drama",2026-06-20,8.306,18.5461,Movie,2026
Shrek 2,"Animation, Comedy, Family, Fantasy, Romance",2004-05-19,7.328,18.7941,Movie,2004
Meg 2: The Trench,"Action, Science Fiction, Horror",2023-08-02,6.363,19.9293,Movie,2023
Godzilla Minus One,"Science Fiction, Horror, Action",2023-11-03,7.595,18.4071,Movie,2023
No Country for Old Men,"Crime, Thriller, Western",2007-11-09,7.95,19.5801,Movie,2007
Furious 7,"Action, Crime, Thriller",2015-04-01,7.213,18.1588,Movie,2015
Godzilla x Kong: The New Empire,"Action, Adventure, Science Fiction",2024-03-27,7.039,18.7666,Movie,2024
Fast & Furious Presents: Hobbs & Shaw,"Action, Adventure, Comedy",2019-07-31,6.823,20.0103,Movie,2019
Venom: Let There Be Carnage,"Science Fiction, Action, Adventure",2021-09-30,6.731,17.1461,Movie,2021
The Meg,"Action, Science Fiction, Horror",2018-08-08,6.253,18.5061,Movie,2018
Kill Bill: Vol. 2,"Action, Crime, Thriller",2004-04-16,7.873,17.8002,Movie,2004
Peaky Blinders: The Immortal Man,"Crime, Drama",2026-03-05,7.176,18.3683,Movie,2026
Jurassic World,"Adventure, Science Fiction, Thriller, Action",2015-06-06,6.703,17.8899,Movie,2015
Jurassic World: Fallen Kingdom,"Adventure, Science Fiction, Thriller, Action",2018-06-06,6.525,18.1994,Movie,2018
Bullet Train,"Action, Comedy, Thriller",2022-08-03,7.409,17.2342,Movie,2022
Puss in Boots,"Action, Adventure, Animation, Comedy, Family",2011-10-27,6.615,17.9185,Movie,2011
Remarkably Bright Creatures,"Drama, Mystery",2026-05-07,8.424,16.8685,Movie,2026
My Neighbor Totoro,"Fantasy, Animation, Family",1988-04-16,8.066,18.5032,Movie,1988
Anaconda,"Adventure, Comedy, Horror",2025-12-24,5.81,16.6124,Movie,2025
Shrek Forever After,"Comedy, Adventure, Fantasy, Animation, Family",2010-05-16,6.414,17.5206,Movie,2010
Green Lantern,"Adventure, Action, Science Fiction",2011-06-14,5.19,17.0972,Movie,2011
Alpha,"Action, Thriller",2026-07-02,4.818,16.0083,Movie,2026
28 Years Later: The Bone Temple,"Horror, Thriller, Science Fiction",2026-01-14,7.09,16.6835,Movie,2026
Edge of Tomorrow,"Action, Science Fiction",2014-05-27,7.643,17.0854,Movie,2014
Beetlejuice Beetlejuice,"Comedy, Fantasy",2024-09-04,6.918,17.8207,Movie,2024
American Psycho,"Thriller, Drama, Crime",2000-04-13,7.402,19.0468,Movie,2000
Mission: Impossible - Fallout,"Action, Adventure",2018-07-25,7.451,16.759,Movie,2018
Mickey 17,"Science Fiction, Comedy, Adventure",2025-02-28,6.827,16.1274,Movie,2025
From Up on Poppy Hill,"Animation, Drama",2011-07-16,7.516,18.0651,Movie,2011
Hotel Transylvania,"Animation, Comedy, Family, Fantasy",2012-09-20,6.969,17.1787,Movie,2012
Raiders of the Lost Ark,"Adventure, Action",1981-06-12,7.928,17.0064,Movie,1981
Warriors of the Wind,"Adventure, Animation, Fantasy",1984-03-11,7.94,15.5742,Movie,1984
Mission: Impossible,"Adventure, Action, Thriller",1996-05-22,7.028,16.5204,Movie,1996
300,"Action, Adventure, War",2007-03-07,7.209,16.2402,Movie,2007
Nosferatu,"Horror, Fantasy",2024-12-25,6.713,15.4542,Movie,2024
Companion,"Horror, Science Fiction, Thriller",2025-01-22,7.006,16.5966,Movie,2025
The Creator,"Science Fiction, Action, Adventure",2023-09-27,7.025,15.7681,Movie,2023
Wonka,"Comedy, Family, Fantasy",2023-12-06,7.033,14.6081,Movie,2023
Aquaman,"Action, Adventure, Fantasy",2018-12-07,6.864,29.3368,Movie,2018
Lucy,"Action, Science Fiction",2014-07-25,6.477,15.2136,Movie,2014
The Devil's Advocate,"Horror, Drama, Mystery",1997-10-17,7.481,16.4105,Movie,1997
Ejen Ali: The Movie,"Animation, Action, Adventure, Family, Science Fiction",2019-11-28,8.16,10.6124,Movie,2019
Dilwale Dulhania Le Jayenge,"Comedy, Drama, Romance",1995-10-20,8.5,16.8272,Movie,1995
Zodiac,"Crime, Mystery, Thriller",2007-03-02,7.532,13.28,Movie,2007
"Shake, Rattle & Roll: Evil Origins",Horror,2026-06-05,5.762,15.7224,Movie,2026
The Last Samurai,"Drama, Action, War",2003-12-05,7.612,15.006,Movie,2003
The Nun,Horror,2018-09-05,5.91,15.9945,Movie,2018
Anora,"Drama, Comedy, Romance",2024-10-14,7.077,16.1563,Movie,2024
The Equalizer 3,"Action, Thriller, Crime",2023-08-30,7.294,18.217,Movie,2023
Spider-Man 2,"Action, Adventure, Science Fiction",2004-06-25,7.329,15.3069,Movie,2004
72 HOURS,"Comedy, Crime",2026-07-20,6.782,15.4689,Movie,2026
Black Bag,"Drama, Mystery, Thriller",2025-03-12,6.381,14.7855,Movie,2025
Superbad,Comedy,2007-08-17,7.273,14.2363,Movie,2007
Indiana Jones and the Temple of Doom,"Adventure, Action",1984-05-23,7.309,15.5,Movie,1984
Godzilla vs. Kong,"Action, Science Fiction, Adventure",2021-03-24,7.523,14.1084,Movie,2021
Bee Movie,"Family, Animation, Adventure, Comedy",2007-10-28,6.052,13.1643,Movie,2007
Mortal Kombat,"Action, Fantasy, Adventure",2021-04-07,7.039,15.2541,Movie,2021
Pyaar Prema Kalyanam,"Romance, Comedy, Drama",2026-08-21,7.2,13.0867,Movie,2026
Mr. & Mrs. Smith,"Action, Comedy, Drama, Thriller",2005-06-07,6.695,14.9531,Movie,2005
Suicide Squad,"Action, Adventure, Fantasy",2016-08-03,5.917,15.0918,Movie,2016
Uncharted,"Action, Adventure, Mystery",2022-02-10,6.873,14.6367,Movie,2022
Primal Fear,"Crime, Drama, Thriller",1996-04-03,7.661,14.1262,Movie,1996
Extraction 2,"Action, Thriller, Crime",2023-06-09,7.387,14.3559,Movie,2023
Gran Turismo,"Adventure, Drama, Action",2023-08-09,7.694,13.4038,Movie,2023
David,"Animation, Family, Drama, History, Adventure",2025-12-14,8.045,13.9674,Movie,2025
War Dogs,"Comedy, Crime, Drama",2016-08-18,6.948,14.3074,Movie,2016
Enola Holmes 3,"Adventure, Crime, Mystery",2026-06-30,6.748,12.6015,Movie,2026
Kong: Skull Island,"Action, Adventure, Fantasy",2017-03-08,6.559,14.3627,Movie,2017
Wanderlust,"Comedy, Romance",2012-02-23,5.484,14.0212,Movie,2012
Indiana Jones and the Last Crusade,"Adventure, Action",1989-05-24,7.856,13.8608,Movie,1989
Jurassic Park,"Adventure, Science Fiction",1993-06-11,7.976,13.9634,Movie,1993
Wake Up Dead Man: A Knives Out Mystery,"Thriller, Mystery, Comedy",2025-11-26,7.208,14.619,Movie,2025
Neon Genesis Evangelion: The End of Evangelion,"Animation, Science Fiction, Drama, Fantasy, Action",1997-07-19,8.263,12.8586,Movie,1997
Love and Monsters,"Adventure, Comedy, Fantasy",2020-10-16,7.264,13.0296,Movie,2020
Mission: Impossible - Ghost Protocol,"Action, Thriller, Adventure",2011-12-07,7.116,13.9226,Movie,2011
Grown Ups 2,Comedy,2013-07-11,6.188,19.0262,Movie,2013
Rampage,"Action, Adventure, Science Fiction",2018-04-11,6.468,13.2709,Movie,2018
Crawl,"Horror, Thriller",2019-07-10,6.333,11.8602,Movie,2019
Don't Say Good Luck,"Comedy, Music, Drama",2026-08-13,7.303,14.191,Movie,2026
Man on Fire,"Action, Drama, Thriller",2004-04-23,7.465,13.2055,Movie,2004
Mission: Impossible II,"Adventure, Action, Thriller",2000-05-24,6.139,13.2121,Movie,2000
Kiki's Delivery Service,"Animation, Family, Fantasy",1989-07-29,7.838,12.9094,Movie,1989
All Quiet on the Western Front,"War, Drama",2022-10-07,7.742,12.6107,Movie,2022
