title,genres,release_date,rating,popularity
Facing El Chapo,"Crime, Action, Thriller",2026-08-21,8.797,132.3604
The Whisper Man,"Crime, Drama, Thriller",2026-08-27,6.836,93.2893
Gandhari,"Action, Drama, Thriller",2026-09-03,5.063,58.4292
Spider-Man: Homecoming,"Action, Adventure, Science Fiction",2017-07-05,7.333,49.2178
Spider-Man: Across the Spider-Verse,"Animation, Action, Adventure, Science Fiction",2023-05-31,8.347,48.4686
Why Did I Get Married Again?,"Comedy, Romance, Drama",2026-09-08,6.6,49.0357
The Last House,"Horror, Science Fiction, Thriller",2026-08-06,6.887,41.3727
The Secret Woman,"Drama, Thriller, Mystery",2026-08-28,6.192,41.2689
Dune: Part Two,"Science Fiction, Adventure",2024-02-27,8.135,40.8596
Practical Magic,"Romance, Fantasy, Comedy",1998-10-16,6.782,48.5894
The Lord of the Rings: The Return of the King,"Adventure, Fantasy, Action",2003-12-17,8.505,41.58
Elize: Shadows of a Woman,"Thriller, Crime, Drama",2026-07-22,7.527,39.2186
Swapped,"Adventure, Animation, Family, Fantasy",2026-05-01,8.868,38.7123
The Lord of the Rings: The Fellowship of the Ring,"Adventure, Fantasy, Action",2001-12-18,8.445,37.9808
Fight Club,"Drama, Thriller",1999-10-15,8.437,36.7538
War Machine,"Action, Science Fiction, Thriller",2026-02-12,7.473,36.5306
The Batman,"Crime, Mystery, Thriller",2022-03-01,7.7,35.4627
Spirited Away,"Animation, Family, Fantasy",2001-07-20,8.5,35.7338
Dune,"Science Fiction, Adventure",2021-09-15,7.784,32.3735
The Amazing Spider-Man,"Action, Adventure, Science Fiction",2012-06-23,6.761,33.7121
GOAT,"Animation, Comedy, Family",2026-02-11,8.063,32.4033
Desire,"Mystery, Drama",2026-05-07,6.745,31.2349
KPop Demon Hunters,"Fantasy, Music, Comedy, Animation",2025-06-20,8.0,32.2287
Howl's Moving Castle,"Fantasy, Animation, Adventure",2004-09-09,8.386,32.748
Shrek,"Animation, Comedy, Fantasy, Adventure, Family",2001-05-18,7.778,30.1517
The Lord of the Rings: The Two Towers,"Adventure, Fantasy, Action",2002-12-18,8.428,29.2343
Spider-Man: Far From Home,"Action, Adventure, Science Fiction",2019-06-28,7.393,31.144
Dhamaal 4,Comedy,2026-07-10,3.35,30.6687
The Amazing Spider-Man 2,"Action, Adventure, Science Fiction",2014-04-16,6.56,29.0054
A Minecraft Movie,"Family, Fantasy, Comedy, Adventure",2025-03-31,6.224,27.5735
Kill Bill: Vol. 1,"Action, Crime",2003-10-10,7.97,27.4442
Apex,"Action, Thriller",2026-04-24,6.893,26.8099
Insidious: The Red Door,"Horror, Thriller",2023-07-05,6.518,25.1976
The Truman Show,"Comedy, Drama",1998-06-04,8.158,26.5036
The Debt Collector,"Action, Thriller, Crime",2026-07-20,7.989,25.3807
Scarface,"Action, Crime, Drama",1983-12-09,8.152,25.4154
G.D.N,Drama,2026-08-07,0.0,24.7252
Aquaman and the Lost Kingdom,"Action, Adventure, Fantasy",2023-12-20,6.503,23.7544
The Prestige,"Drama, Mystery, Science Fiction",2006-10-19,8.211,24.3435
World War Z,"Action, Horror, Science Fiction",2013-06-19,6.85,21.5992
The Brutalist,Drama,2024-12-20,6.928,23.525
Furiosa: A Mad Max Saga,"Action, Science Fiction, Adventure",2024-05-22,7.444,22.0572
28 Years Later,"Horror, Thriller, Science Fiction",2025-06-18,6.603,21.0857
Sonic the Hedgehog 3,"Action, Science Fiction, Comedy, Family",2024-12-19,7.601,23.7075
The Rip,"Action, Thriller, Crime",2026-01-13,7.088,21.2793
A Chinese Odyssey Part Two: Cinderella,"Action, Adventure, Fantasy, Comedy, Romance, Drama",1995-02-04,7.7,23.29
Man of Steel,"Action, Adventure, Science Fiction",2013-06-12,6.661,20.5438
Eyes Wide Shut,"Drama, Thriller, Mystery",1999-07-16,7.484,21.9126
365 Days: This Day,"Romance, Drama",2022-04-26,5.944,22.9494
Shrek the Third,"Fantasy, Adventure, Animation, Comedy, Family",2007-05-17,6.314,20.5657
2012,"Action, Adventure, Science Fiction",2009-10-10,5.896,21.0451
Gladiator II,"Action, Adventure, Drama",2024-11-13,6.593,20.9998
The Revenant,"Western, Drama, Adventure",2015-12-25,7.541,19.7851
Princess Mononoke,"Adventure, Fantasy, Animation",1997-07-12,8.319,20.6137
Taxi Driver,"Crime, Drama",1976-02-09,8.121,19.8138
Infernal Affairs,"Drama, Action, Thriller, Crime, Mystery",2002-12-12,7.808,28.181
Wicked,"Drama, Romance, Fantasy",2024-10-16,6.905,19.5097
The Croods,"Animation, Adventure, Family, Comedy",2013-03-15,6.945,18.5608
After We Fell,"Drama, Romance",2021-09-01,6.996,20.6449
Tenet,"Action, Thriller, Science Fiction",2020-08-22,7.17,18.242
Frankenstein,"Drama, Fantasy, Horror",2025-10-17,7.616,19.1742
The Suicide Squad,"Action, Comedy, Adventure",2021-07-28,7.447,20.3485
Batman v Superman: Dawn of Justice,"Action, Adventure, Fantasy",2016-03-23,6.011,19.2453
Voicemails for Isabelle,"Romance, Comedy, Drama",2026-06-20,8.306,18.5461
Shrek 2,"Animation, Comedy, Family, Fantasy, Romance",2004-05-19,7.328,18.7941
Meg 2: The Trench,"Action, Science Fiction, Horror",2023-08-02,6.363,19.9293
Godzilla Minus One,"Science Fiction, Horror, Action",2023-11-03,7.595,18.4071
No Country for Old Men,"Crime, Thriller, Western",2007-11-09,7.95,19.5801
Furious 7,"Action, Crime, Thriller",2015-04-01,7.213,18.1588
Godzilla x Kong: The New Empire,"Action, Adventure, Science Fiction",2024-03-27,7.039,18.7666
Fast & Furious Presents: Hobbs & Shaw,"Action, Adventure, Comedy",2019-07-31,6.823,20.0103
Venom: Let There Be Carnage,"Science Fiction, Action, Adventure",2021-09-30,6.731,17.1461
The Meg,"Action, Science Fiction, Horror",2018-08-08,6.253,18.5061
Kill Bill: Vol. 2,"Action, Crime, Thriller",2004-04-16,7.873,17.8002
Peaky Blinders: The Immortal Man,"Crime, Drama",2026-03-05,7.176,18.3683
Jurassic World,"Adventure, Science Fiction, Thriller, Action",2015-06-06,6.703,17.8899
Jurassic World: Fallen Kingdom,"Adventure, Science Fiction, Thriller, Action",2018-06-06,6.525,18.1994
Bullet Train,"Action, Comedy, Thriller",2022-08-03,7.409,17.2342
Puss in Boots,"Action, Adventure, Animation, Comedy, Family",2011-10-27,6.615,17.9185
Remarkably Bright Creatures,"Drama, Mystery",2026-05-07,8.424,16.8685
My Neighbor Totoro,"Fantasy, Animation, Family",1988-04-16,8.066,18.5032
Anaconda,"Adventure, Comedy, Horror",2025-12-24,5.81,16.6124
Shrek Forever After,"Comedy, Adventure, Fantasy, Animation, Family",2010-05-16,6.414,17.5206
Green Lantern,"Adventure, Action, Science Fiction",2011-06-14,5.19,17.0972
Alpha,"Action, Thriller",2026-07-02,4.818,16.0083
28 Years Later: The Bone Temple,"Horror, Thriller, Science Fiction",2026-01-14,7.091,16.6835
Edge of Tomorrow,"Action, Science Fiction",2014-05-27,7.643,17.0854
Beetlejuice Beetlejuice,"Comedy, Fantasy",2024-09-04,6.918,17.8207
American Psycho,"Thriller, Drama, Crime",2000-04-13,7.4,19.0468
Mission: Impossible - Fallout,"Action, Adventure",2018-07-25,7.451,16.759
Mickey 17,"Science Fiction, Comedy, Adventure",2025-02-28,6.827,16.1274
From Up on Poppy Hill,"Animation, Drama",2011-07-16,7.516,18.0651
Hotel Transylvania,"Animation, Comedy, Family, Fantasy",2012-09-20,6.969,17.1787
Raiders of the Lost Ark,"Adventure, Action",1981-06-12,7.928,17.0064
Warriors of the Wind,"Adventure, Animation, Fantasy",1984-03-11,7.94,15.5742
Mission: Impossible,"Adventure, Action, Thriller",1996-05-22,7.028,16.5204
300,"Action, Adventure, War",2007-03-07,7.209,16.2402
Nosferatu,"Horror, Fantasy",2024-12-25,6.713,15.4542
Companion,"Horror, Science Fiction, Thriller",2025-01-22,7.006,16.5966
The Creator,"Science Fiction, Action, Adventure",2023-09-27,7.025,15.7681
Wonka,"Comedy, Family, Fantasy",2023-12-06,7.033,14.6081
Aquaman,"Action, Adventure, Fantasy",2018-12-07,6.864,29.3368
Lucy,"Action, Science Fiction",2014-07-25,6.477,15.2136
The Devil's Advocate,"Horror, Drama, Mystery",1997-10-17,7.481,16.4105
Ejen Ali: The Movie,"Animation, Action, Adventure, Family, Science Fiction",2019-11-28,8.16,10.6124
Dilwale Dulhania Le Jayenge,"Comedy, Drama, Romance",1995-10-20,8.5,16.8272
Zodiac,"Crime, Mystery, Thriller",2007-03-02,7.532,13.28
"Shake, Rattle & Roll: Evil Origins",Horror,2026-06-05,5.762,15.7224
The Last Samurai,"Drama, Action, War",2003-12-05,7.612,15.006
The Nun,Horror,2018-09-05,5.91,15.9945
Anora,"Drama, Comedy, Romance",2024-10-14,7.077,16.1563
The Equalizer 3,"Action, Thriller, Crime",2023-08-30,7.294,18.217
Spider-Man 2,"Action, Adventure, Science Fiction",2004-06-25,7.329,15.3069
