title,genres,release_date,rating,popularity
The Mentalist,"Crime, Drama, Mystery",2008-09-23,8.4,376.412
Law & Order: Special Victims Unit,"Crime, Drama, Mystery",1999-09-20,7.959,255.6058
The Rookie,"Crime, Drama, Comedy",2018-10-16,8.537,237.566
The Gentlemen,"Comedy, Drama, Crime",2024-03-07,7.842,223.9661
House,Drama,2004-11-16,8.563,205.1912
The Good Doctor,Drama,2017-09-25,8.453,191.4998
Sesame Street,"Kids, Comedy",1969-11-10,7.132,155.1938
Shameless,"Drama, Comedy",2011-01-09,8.164,160.1405
Breaking Bad,"Drama, Crime",2008-01-20,8.95,182.4655
Teen Titans Go!,"Animation, Action & Adventure, Comedy, Family, Sci-Fi & Fantasy",2013-04-23,6.415,150.0913
The Office,Comedy,2005-03-24,8.581,156.0675
Good Mythical Morning,Comedy,2012-01-09,6.926,119.9644
Spartacus,Drama,2010-01-22,8.028,115.5388
Rick and Morty,"Animation, Comedy, Sci-Fi & Fantasy, Action & Adventure",2013-12-02,8.68,161.8961
Friends,Comedy,1994-09-22,8.409,137.3871
Raw,Reality,1993-01-11,6.8,120.1821
Dexter,"Crime, Drama, Mystery",2006-10-01,8.241,132.1422
Smallville,"Sci-Fi & Fantasy, Action & Adventure, Drama",2001-10-16,8.186,123.2382
Mushoku Tensei: Jobless Reincarnation,"Action & Adventure, Animation, Sci-Fi & Fantasy",2021-01-11,8.409,135.0974
Bleach,"Action & Adventure, Animation, Sci-Fi & Fantasy",2004-10-05,8.3,114.3984
The Early Spring,Drama,2026-08-26,8.375,130.3641
Fauda,"Drama, Action & Adventure, War & Politics",2015-02-15,7.4,134.9221
S.W.A.T.,"Crime, Action & Adventure, Drama",2017-11-02,8.032,115.8515
Hawaii Five-0,"Crime, Drama, Action & Adventure",2010-09-20,7.733,111.0292
The Blacklist,"Drama, Crime, Mystery",2013-09-23,7.632,113.6539
Yellowstone,"Western, Drama",2018-06-20,8.269,111.0623
SEAL Team,"Action & Adventure, Drama, War & Politics",2017-09-27,8.031,114.295
Miraculous: Tales of Ladybug & Cat Noir,"Action & Adventure, Animation, Kids",2015-10-19,8.1,105.7843
The Walking Dead,"Action & Adventure, Drama, Sci-Fi & Fantasy",2010-10-31,8.081,105.2143
Vikings,"Action & Adventure, Drama, War & Politics",2013-03-03,8.101,120.4487
Trust Me: The False Prophet,"Documentary, Crime",2026-04-08,7.485,115.3788
Chicago P.D.,"Crime, Drama",2014-01-08,8.422,107.211
The Vampire Diaries,"Drama, Sci-Fi & Fantasy",2009-09-10,8.299,98.9363
Outer Banks,"Action & Adventure, Mystery",2020-04-15,8.237,93.0076
PAW Patrol,"Animation, Kids",2013-08-12,6.969,100.1757
Stranger Things,"Action & Adventure, Mystery, Sci-Fi & Fantasy",2016-07-15,8.552,104.0015
Suits,Drama,2011-06-23,8.222,94.8161
Outlander,"Drama, Sci-Fi & Fantasy",2014-08-09,8.201,92.7778
Detective Conan,"Animation, Crime, Mystery, Comedy",1996-01-08,8.008,104.1587
WWE NXT,"Action & Adventure, Drama, Reality",2010-02-23,6.7,89.9308
Young Sheldon,"Comedy, Family, Drama",2017-09-25,8.024,86.4127
Beauty in Black,Drama,2024-10-24,8.363,87.0667
Gilmore Girls,"Comedy, Drama",2000-10-05,7.883,86.657
One Tree Hill,Drama,2003-09-23,7.808,85.2252
Re:ZERO -Starting Life in Another World-,"Animation, Mystery, Action & Adventure, Sci-Fi & Fantasy",2016-04-04,8.106,83.0665
Person of Interest,"Action & Adventure, Crime, Sci-Fi & Fantasy",2011-09-22,8.096,80.8686
Naruto Shippūden,"Animation, Action & Adventure, Sci-Fi & Fantasy",2007-02-15,8.5,85.8823
WWE Friday Night SmackDown,Reality,1999-04-29,7.4,71.5215
Hunter x Hunter,"Animation, Action & Adventure, Sci-Fi & Fantasy",2011-10-02,8.657,74.0547
Peaky Blinders,"Drama, Crime",2013-09-12,8.526,80.1542
Ranma1/2,"Animation, Action & Adventure, Comedy",2024-10-06,8.093,78.5867
Peppa Pig,"Animation, Kids",2004-05-31,6.521,74.5564
Better Call Saul,"Crime, Drama",2015-02-08,8.71,71.1882
Lucifer,"Crime, Sci-Fi & Fantasy",2016-01-25,8.429,74.5882
Riverdale,"Crime, Drama, Mystery",2017-01-26,8.399,76.9037
The Chosen,"Action & Adventure, Family, Drama",2019-04-21,8.792,70.2659
